genome,Modules,KO_number,median_comparison,median_high,median_low,IQR_high,IQR_low
Dorea longicatena AGR2136,M00003,K01803,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00165,K01803,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00001,K01810,High,0.075431034,0.07122093,0.012618595,0.00457338150000002
Dorea longicatena AGR2136,M00048,K01933,High,0.07000607,0.0472977795,0.0203146765,0.0266854995
Dorea longicatena AGR2136,M00048,K01945,High,0.0301061365,0.030855308,0.00306819100000001,0.00584266525
Dorea longicatena AGR2136,M00048,K01952,High,0.0737640255,0.038885978,0.032013647,0.00660720550000001
Dorea longicatena AGR2136,M00159,K02117,High,0.023543205,0.011533652,0.031460965,0.00266326775
Dorea longicatena AGR2136,M00159,K02118,High,0.049105443,0.027117931,0.0192705625,0
Dorea longicatena AGR2136,M00159,K02120,High,0.077441228,0.022483685,0.0631333715,0.006760435
Dorea longicatena AGR2136,M00159,K02124,High,0.061193656,0.057149661,0.02415236825,0.01048661825
Dorea longicatena AGR2136,M00026,K02502,High,0.12414966,0.011045141,0.026603499,0.081103899
Fibrobacter succinogenes HM2,M00022,K00014,High,0.094100004,0.0776597525,0.03447895425,0.03570779725
Fibrobacter succinogenes HM2,M00115,K00278,High,0.0367574125,0.027944112,0.00697654525000001,0.0124484365
Fibrobacter succinogenes HM2,M00912,K00452,High,0.080910024,0.034018987,0.048451285,0.015098043
Fibrobacter succinogenes HM2,M00115,K00767,High,0.0367574125,0.027944112,0.00697654525000001,0.0124484365
Fibrobacter succinogenes HM2,M00912,K00767,High,0.0367574125,0.027944112,0.00697654525000001,0.0124484365
Fibrobacter succinogenes HM2,M00022,K00800,High,0.071781557,0.064957676,0.01429091875,0.00910027050000001
Fibrobacter succinogenes HM2,M00022,K00891,High,0.0466143485,0.01717225,0.0456019515,0.019388687
Fibrobacter succinogenes HM2,M00115,K00969,High,0.110889111,0.028749029,0.052509255,0.002874903
Fibrobacter succinogenes HM2,M00912,K00969,High,0.110889111,0.028749029,0.052509255,0.002874903
Fibrobacter succinogenes HM2,M00022,K01735,High,0.0466143485,0.01717225,0.0456019515,0.019388687
Fibrobacter succinogenes HM2,M00115,K01950,High,0.108132313,0.096548149,0.0106330495,0.02645790675
Fibrobacter succinogenes HM2,M00912,K01950,High,0.108132313,0.096548149,0.0106330495,0.02645790675
Lachnoclostridium lavalense NLAE-zl-G277,M00019,K00053,Low,0.150730176,0.1865152955,0.01376024725,0.0190432855
Lachnoclostridium lavalense NLAE-zl-G277,M00570,K00053,Low,0.150730176,0.1865152955,0.01376024725,0.0190432855
Lachnoclostridium lavalense NLAE-zl-G277,M00019,K00826,Low,0.1350359685,0.157493043,0.01090715025,0.02318094725
Lachnoclostridium lavalense NLAE-zl-G277,M00570,K00826,Low,0.1350359685,0.157493043,0.01090715025,0.02318094725
Lachnoclostridium lavalense NLAE-zl-G277,M00019,K01652,Low,0.174808282,0.185903092,0.0166319105,0.03105863825
Lachnoclostridium lavalense NLAE-zl-G277,M00570,K01652,Low,0.174808282,0.185903092,0.0166319105,0.03105863825
Lachnoclostridium lavalense NLAE-zl-G277,M00019,K01687,Low,0.1625291785,0.1621631185,0.00729337100000002,0.016055196
Lachnoclostridium lavalense NLAE-zl-G277,M00570,K01687,Low,0.1625291785,0.1621631185,0.00729337100000002,0.016055196
Lachnospiraceae bacterium JC7,M00009,K00244,High,0.067987199,0.0787133655,0.01753856975,0.01061098875
Lachnospiraceae bacterium JC7,M00009,K01647,High,0.109576427,0.067624309,0.03811227,0.019365612
Lachnospiraceae bacterium JC7,M00009,K01678,High,0.061004785,0.0485893415,0.0163382515,0.02454138
Lachnospiraceae bacterium JC7,M00009,K01679,High,0.084711082,0.082381034,0.00268769799999999,0.073092995
Lachnospiraceae bacterium JC7,M00009,K01681,High,0.07806842,0.049198451,0.011512034,0.00774155
Lachnospiraceae bacterium NC2008,M00002,K00134,Low,0.085762685,0.1130152485,0.0436426925,0.02255962125
Lachnospiraceae bacterium NC2008,M00165,K00134,Low,0.085762685,0.1130152485,0.0436426925,0.02255962125
Lachnospiraceae bacterium NC2008,M00002,K00927,Low,0.095844038,0.1144593045,0.0282472025,0.01679330275
Lachnospiraceae bacterium NC2008,M00165,K00927,Low,0.095844038,0.1144593045,0.0282472025,0.01679330275
Lachnospiraceae bacterium NC2008,M00165,K01624,Low,0.168909382,0.183845391,0.06164849075,0.0584991035
Lachnospiraceae bacterium NC2008,M00002,K01689,Low,0.0221136165,0.023907104,0.0071240655,0.007092441
Lachnospiraceae bacterium NC2008,M00165,K01783,Low,0.022395666,0.025340244,0.016150816,0.013041868
Lachnospiraceae bacterium NC2008,M00002,K01803,Low,0.095844038,0.1144593045,0.0282472025,0.01679330275
Lachnospiraceae bacterium NC2008,M00165,K01803,Low,0.095844038,0.1144593045,0.0282472025,0.01679330275
Lachnospiraceae bacterium NC2008,M00002,K01834,Low,0.087139108,0.065354331,0.043569554,0.043569554
Lachnospiraceae bacterium NK3A20,M00173,K00031,High,0.174914492,0.168809897,0.04410377875,0.03870161125
Lachnospiraceae bacterium NK3A20,M00061,K00040,High,0.162132644,0.1120066505,0.01622920275,0.035189633
Lachnospiraceae bacterium NK3A20,M00631,K00041,High,0.1892628875,0.153844467,0.026112708,0.01447750975
Lachnospiraceae bacterium NK3A20,M00019,K00053,High,0.115699091,0.08992318,0.0103933085,0.013769708
Lachnospiraceae bacterium NK3A20,M00570,K00053,High,0.115699091,0.08992318,0.0103933085,0.013769708
Lachnospiraceae bacterium NK3A20,M00003,K00134,High,0.1054245975,0.1243560695,0.010126666,0.01177360125
Lachnospiraceae bacterium NK3A20,M00048,K00602,High,0.197171923,0.138830468,0.0362399795,0.03576989525
Lachnospiraceae bacterium NK3A20,M00565,K00700,High,0.1362128565,0.1151840605,0.02181976625,0.013285474
Lachnospiraceae bacterium NK3A20,M00565,K00703,High,0.1233644885,0.127570316,0.00950154649999999,0.01358915
Lachnospiraceae bacterium NK3A20,M00019,K00826,High,0.180411445,0.097791045,0.03408181925,0.00847455600000001
Lachnospiraceae bacterium NK3A20,M00570,K00826,High,0.180411445,0.097791045,0.03408181925,0.00847455600000001
Lachnospiraceae bacterium NK3A20,M00061,K00874,High,0.126892809,0.093339687,0.02004250525,0.02489893525
Lachnospiraceae bacterium NK3A20,M00631,K00874,High,0.126892809,0.093339687,0.02004250525,0.02489893525
Lachnospiraceae bacterium NK3A20,M00003,K00927,High,0.1427522215,0.118897537,0.020848428,0.01287963125
Lachnospiraceae bacterium NK3A20,M00565,K00975,High,0.12781326,0.1148584975,0.019316077,0.03136602075
Lachnospiraceae bacterium NK3A20,M00173,K01006,High,0.1467432115,0.0936015225,0.00928212449999999,0.0171983885
Lachnospiraceae bacterium NK3A20,M00565,K01214,High,0.209655131,0.1217023655,0.028964958,0.0121689075
Lachnospiraceae bacterium NK3A20,M00565,K01236,High,0.1362128565,0.1151840605,0.02181976625,0.013285474
Lachnospiraceae bacterium NK3A20,M00048,K01588,High,0.123580034,0.127214741,0.014460581,0.0242663445
Lachnospiraceae bacterium NK3A20,M00003,K01610,High,0.1774565005,0.1209620355,0.013989772,0.00477145174999999
Lachnospiraceae bacterium NK3A20,M00003,K01624,High,0.1265965275,0.0608717015,0.017237046,0.01187599575
Lachnospiraceae bacterium NK3A20,M00061,K01625,High,0.184558305,0.145339665,0.014196793,0.02647200125
Lachnospiraceae bacterium NK3A20,M00631,K01625,High,0.184558305,0.145339665,0.014196793,0.02647200125
Lachnospiraceae bacterium NK3A20,M00019,K01652,High,0.15160545,0.131526215,0.013598587,0.0124832
Lachnospiraceae bacterium NK3A20,M00570,K01652,High,0.15160545,0.131526215,0.013598587,0.0124832
Lachnospiraceae bacterium NK3A20,M00019,K01653,High,0.146462814,0.150115138,0.058178878,0.037933865
Lachnospiraceae bacterium NK3A20,M00570,K01653,High,0.146462814,0.150115138,0.058178878,0.037933865
Lachnospiraceae bacterium NK3A20,M00173,K01681,High,0.121079663,0.107363408,0.04176823875,0.01790579925
Lachnospiraceae bacterium NK3A20,M00631,K01685,High,0.161888202,0.145545203,0.031575479,0.079774982
Lachnospiraceae bacterium NK3A20,M00061,K01686,High,0.125911609,0.1049392965,0.0184725005,0.0171448275
Lachnospiraceae bacterium NK3A20,M00019,K01687,High,0.124840915,0.0799873705,0.039766618,0.011458679
Lachnospiraceae bacterium NK3A20,M00570,K01687,High,0.124840915,0.0799873705,0.039766618,0.011458679
Lachnospiraceae bacterium NK3A20,M00003,K01689,High,0.102495777,0.0692140415,0.006762987,0.00368675424999999
Lachnospiraceae bacterium NK3A20,M00570,K01754,High,0.1547732315,0.1460657295,0.01062653625,0.0483304015
Lachnospiraceae bacterium NK3A20,M00048,K01756,High,0.117731773,0.0761455525,0.01937133275,0.02695047275
Lachnospiraceae bacterium NK3A20,M00003,K01803,High,0.1427522215,0.118897537,0.020848428,0.01287963125
Lachnospiraceae bacterium NK3A20,M00061,K01812,High,0.1689225985,0.149285167,0.03392904675,0.02431808625
Lachnospiraceae bacterium NK3A20,M00631,K01812,High,0.1689225985,0.149285167,0.03392904675,0.02431808625
Lachnospiraceae bacterium NK3A20,M00048,K01923,High,0.259565098,0.223441978,0.0520861935000001,0.0391740647499999
Lachnospiraceae bacterium NK3A20,M00048,K01933,High,0.1970226535,0.1666547565,0.032574235,0.0206951495
Lachnospiraceae bacterium NK3A20,M00048,K01945,High,0.1891631025,0.1476650485,0.0184789645,0.0119491805
Lachnospiraceae bacterium NK3A20,M00048,K01952,High,0.1852372805,0.138293821,0.02316953925,0.012199116
Lachnospiraceae bacterium NK3A20,M00173,K01960,High,0.207458771,0.113799005,0.029995316,0.0114355305
Lachnospiraceae bacterium NK4A144,M00001,K00134,High,0.145057561,0.0791233215,0.01694411625,0.0700003125
Lachnospiraceae bacterium NK4A144,M00003,K00134,High,0.145057561,0.0791233215,0.01694411625,0.0700003125
Lachnospiraceae bacterium NK4A144,M00165,K00134,High,0.145057561,0.0791233215,0.01694411625,0.0700003125
Lachnospiraceae bacterium NK4A144,M00165,K00615,High,0.082078679,0.083462449,0.033990821,0.037837116
Lachnospiraceae bacterium NK4A144,M00001,K00850,High,0.207921691,0.080562171,0.0998299507499999,0.031414158
Lachnospiraceae bacterium NK4A144,M00001,K00927,High,0.098054884,0.090197046,0.017860935,0.017607649
Lachnospiraceae bacterium NK4A144,M00003,K00927,High,0.098054884,0.090197046,0.017860935,0.017607649
Lachnospiraceae bacterium NK4A144,M00165,K00927,High,0.098054884,0.090197046,0.017860935,0.017607649
